Key:2015-01-01 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 09:00:00 {'diffuse_radiation': 18.0, 'direct_normal_radiation': 14.0}
Key:2015-01-01 10:00:00 {'diffuse_radiation': 43.0, 'direct_normal_radiation': 24.0}
Key:2015-01-01 11:00:00 {'diffuse_radiation': 56.0, 'direct_normal_radiation': 14.0}
Key:2015-01-01 12:00:00 {'diffuse_radiation': 58.0, 'direct_normal_radiation': 14.0}
Key:2015-01-01 13:00:00 {'diffuse_radiation': 50.0, 'direct_normal_radiation': 13.0}
Key:2015-01-01 14:00:00 {'diffuse_radiation': 34.0, 'direct_normal_radiation': 3.0}
Key:2015-01-01 15:00:00 {'diffuse_radiation': 17.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 16:00:00 {'diffuse_radiation': 3.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-01 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 09:00:00 {'diffuse_radiation': 39.0, 'direct_normal_radiation': 31.0}
Key:2015-01-02 10:00:00 {'diffuse_radiation': 63.0, 'direct_normal_radiation': 294.0}
Key:2015-01-02 11:00:00 {'diffuse_radiation': 61.0, 'direct_normal_radiation': 579.0}
Key:2015-01-02 12:00:00 {'diffuse_radiation': 61.0, 'direct_normal_radiation': 635.0}
Key:2015-01-02 13:00:00 {'diffuse_radiation': 59.0, 'direct_normal_radiation': 617.0}
Key:2015-01-02 14:00:00 {'diffuse_radiation': 50.0, 'direct_normal_radiation': 537.0}
Key:2015-01-02 15:00:00 {'diffuse_radiation': 29.0, 'direct_normal_radiation': 390.0}
Key:2015-01-02 16:00:00 {'diffuse_radiation': 8.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-02 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
